date,close,全收益收盘点位(元),市值(元),流通市值(元),PE-TTM市值加权,PE-TTM 分位点,PE-TTM 80%分位点,PE-TTM 50%分位点,PE-TTM 20%分位点
2005/9/5,952.717,,2.4149E+12,6.07532E+11,14.4806,0.7426,14.6652,14.0717,13.2943
2005/9/6,936.61,,2.3764E+12,5.97105E+11,14.2498,0.6275,14.6652,14.0782,13.2943
2005/9/7,952.758,,2.41206E+12,6.07757E+11,14.4636,0.7379,14.6554,14.0792,13.3093
2005/9/8,955.282,,2.41328E+12,6.09218E+11,14.4709,0.7404,14.6554,14.0801,13.3093
2005/9/9,949.065,,2.40588E+12,6.05206E+11,14.4265,0.7143,14.6554,14.0809,13.3093
2005/9/12,949.506,,2.39891E+12,6.05462E+11,14.3853,0.6792,14.6554,14.0817,13.3093
2005/9/13,963.774,,2.43297E+12,6.14708E+11,14.5895,0.7757,14.6554,14.0825,13.3093
2005/9/14,970.193,,2.452E+12,6.18905E+11,14.7036,0.8241,14.6554,14.0832,13.415
2005/9/15,969.598,,2.44753E+12,6.18381E+11,14.6768,0.8073,14.6652,14.0901,13.415
2005/9/16,967.495,,2.43686E+12,6.16995E+11,14.6128,0.7727,14.6652,14.0969,13.415
2005/9/19,971.136,,2.44295E+12,6.1913E+11,14.6493,0.7838,14.6652,14.1027,13.415
2005/9/20,961.919,,2.42145E+12,6.13196E+11,14.5204,0.7321,14.6652,14.1084,13.415
2005/9/21,944.408,,2.36871E+12,6.01864E+11,14.2042,0.5664,14.6554,14.1141,13.5079
2005/9/22,923.274,,2.32019E+12,5.88326E+11,13.9132,0.3421,14.6554,14.1084,13.5079
2005/9/23,916.154,,2.30991E+12,5.8375E+11,13.8516,0.3304,14.6554,14.1027,13.5079
2005/9/26,918.485,,2.31349E+12,5.85278E+11,13.873,0.3362,14.6554,14.0969,13.5079
2005/9/27,904.214,,2.2703E+12,5.76037E+11,13.614,0.2222,14.6554,14.0901,13.5079
2005/9/28,903.719,,2.26891E+12,5.75679E+11,13.6057,0.2203,14.6493,14.0832,13.5155
2005/9/29,915.975,,2.3121E+12,5.8365E+11,13.8647,0.3445,14.6493,14.0825,13.5155
2005/9/30,917.392,,2.31617E+12,5.8514E+11,13.8896,0.3583,14.6493,14.0817,13.5155
2005/10/10,907.321,,2.288E+12,5.79317E+11,13.7207,0.2727,14.6493,14.0809,13.5155
2005/10/11,919.72,,2.31914E+12,5.87327E+11,13.9074,0.3689,14.6493,14.0801,13.5155
2005/10/12,923.485,,2.32288E+12,5.89869E+11,13.9244,0.3984,14.6219,14.0792,13.528
2005/10/13,916.499,,2.30022E+12,5.85281E+11,13.7886,0.3065,14.6219,14.0782,13.528
2005/10/14,904.828,,2.27257E+12,5.78026E+11,13.6228,0.224,14.6219,14.0717,13.528
2005/10/17,897.623,,2.2466E+12,5.7341E+11,13.4712,0.1825,14.6219,14.0651,13.5155
2005/10/18,902.366,,2.25775E+12,5.76627E+11,13.554,0.2126,14.6219,14.0588,13.5155
2005/10/19,898.744,,2.24625E+12,5.74111E+11,13.466,0.1797,14.6128,14.0526,13.5155
2005/10/20,899.915,,2.25216E+12,5.74744E+11,13.5062,0.1938,14.6128,14.039,13.5079
2005/10/21,904.414,,2.26195E+12,5.77769E+11,13.5619,0.2308,14.6128,14.0254,13.5079
2005/10/24,906.652,,2.25301E+12,5.78442E+11,13.5502,0.2214,14.6128,14.0246,13.5079
2005/10/25,894.272,,2.22016E+12,5.70588E+11,13.3482,0.1667,14.6128,14.0238,13.5062
2005/10/26,875.82,,2.16795E+12,5.58349E+11,13.0103,0.0827,14.5984,14.0195,13.5062
2005/10/27,875.849,,2.17542E+12,5.58594E+11,13.1181,0.1194,14.5984,14.0153,13.4712
2005/10/28,867.729,,2.14557E+12,5.52696E+11,12.9603,0.0519,14.5984,14.0152,13.466
2005/10/31,876.282,,2.17285E+12,5.57654E+11,13.3399,0.1838,14.5984,14.0151,13.415
2005/11/1,872.865,,2.17219E+12,5.55644E+11,13.417,0.2044,14.5984,14.0131,13.415
2005/11/2,882.478,,2.19434E+12,5.61741E+11,13.5524,0.2609,14.5895,14.011,13.417
2005/11/3,874.575,,2.18016E+12,5.56912E+11,13.4615,0.2086,14.5895,14.0108,13.417
2005/11/4,878.361,,2.18705E+12,5.59834E+11,13.5298,0.2571,14.5895,14.0106,13.417
2005/11/7,877.278,,2.17833E+12,5.58913E+11,13.4817,0.227,14.5895,14.0072,13.417
2005/11/8,881.524,,2.19307E+12,5.61482E+11,13.5729,0.2958,14.5895,14.0039,13.417
2005/11/9,879.252,,2.19191E+12,5.6017E+11,13.5657,0.2937,14.5299,14.0013,13.4615
2005/11/10,862.968,,2.15901E+12,5.49769E+11,13.3621,0.1875,14.5299,13.9987,13.417
2005/11/11,864.79,,2.16142E+12,5.51055E+11,13.377,0.1931,14.5299,13.9874,13.415
2005/11/14,862.149,,2.14764E+12,5.47847E+11,13.2915,0.1575,14.5299,13.976,13.377
2005/11/15,856.635,,2.15143E+12,5.45708E+11,13.3149,0.1769,14.5299,13.9502,13.3621
2005/11/16,863.119,,2.16888E+12,5.49772E+11,13.4229,0.223,14.5204,13.9244,13.377
2005/11/17,862.658,,2.16812E+12,5.49384E+11,13.4182,0.2215,14.5204,13.9221,13.377
2005/11/18,882.241,,2.20964E+12,5.61749E+11,13.6717,0.3667,14.5204,13.9199,13.377
2005/11/21,883.871,,2.20691E+12,5.62255E+11,13.6548,0.3576,14.5204,13.9165,13.377
2005/11/22,869.617,,2.1661E+12,5.53064E+11,13.4023,0.2039,14.5204,13.9132,13.377
2005/11/23,876.229,,2.17884E+12,5.57214E+11,13.4811,0.2549,14.5101,13.9125,13.4023
2005/11/24,881.493,,2.19321E+12,5.6053E+11,13.57,0.3312,14.5101,13.9118,13.4023
2005/11/25,884.105,,2.19618E+12,5.62461E+11,13.5884,0.3419,14.5101,13.9096,13.4023
2005/11/28,880.167,,2.18817E+12,5.60109E+11,13.5388,0.2949,14.5101,13.9074,13.4023
2005/11/29,871.31,,2.16528E+12,5.54401E+11,13.3972,0.1975,14.5101,13.8985,13.3972
2005/11/30,873.825,,2.16631E+12,5.55838E+11,13.4036,0.2089,14.4806,13.8896,13.4023
2005/12/1,873.067,,2.1656E+12,5.55412E+11,13.3992,0.2013,14.4806,13.8813,13.3992
2005/12/2,869.936,,2.16247E+12,5.53453E+11,13.3798,0.1938,14.4806,13.873,13.3972
2005/12/5,859.61,,2.1426E+12,5.46646E+11,13.2569,0.1429,14.4806,13.8689,13.3798
2005/12/6,866.075,,2.16434E+12,5.50692E+11,13.3914,0.2037,14.4806,13.8647,13.3798
2005/12/7,873.838,,2.18841E+12,5.55631E+11,13.5404,0.3252,14.4709,13.8581,13.3914
2005/12/8,874.056,,2.18946E+12,5.55775E+11,13.5469,0.3293,14.4709,13.8516,13.3914
2005/12/9,887.358,,2.21636E+12,5.64264E+11,13.7133,0.4424,14.4709,13.8417,13.3914
2005/12/12,888.518,,2.21924E+12,5.65214E+11,13.7311,0.4518,14.4709,13.8318,13.3914
2005/12/13,889.101,,2.22494E+12,5.65642E+11,13.7664,0.4671,14.4709,13.8297,13.3914
2005/12/14,898.153,,2.23991E+12,5.71445E+11,13.859,0.5119,14.4636,13.8318,13.3972
2005/12/15,896.434,,2.23882E+12,5.70812E+11,13.8522,0.5089,14.4636,13.8417,13.3972
2005/12/16,902.561,,2.24507E+12,5.74851E+11,13.8909,0.5353,14.4636,13.8516,13.3972
2005/12/19,902.91,,2.25458E+12,5.7538E+11,13.9498,0.5673,14.4636,13.8519,13.3972
2005/12/20,907.318,,2.26232E+12,5.78196E+11,13.9977,0.5756,14.4636,13.8522,13.3972
2005/12/21,903.144,,2.25095E+12,5.75505E+11,13.9273,0.5607,14.4516,13.8556,13.3992
2005/12/22,908.754,,2.26018E+12,5.79643E+11,13.9844,0.5747,14.4516,13.859,13.3992
2005/12/23,915.89,,2.27603E+12,5.84481E+11,14.0825,0.6571,14.4516,13.8619,13.3992
2005/12/26,922.378,,2.30009E+12,5.88716E+11,14.2313,0.7216,14.4516,13.8647,13.3992
2005/12/27,919.36,,2.28941E+12,5.86643E+11,14.1653,0.7006,14.4516,13.8689,13.3992
2005/12/28,920.919,,2.29406E+12,5.87683E+11,14.194,0.7022,14.4265,13.873,13.4023
2005/12/29,932.031,,2.32122E+12,5.97284E+11,14.3621,0.7709,14.4265,13.8813,13.4023
2005/12/30,923.451,,2.29889E+12,5.92673E+11,14.2239,0.7167,14.4265,13.8896,13.4023
2006/1/4,941.428,,2.34299E+12,6.12445E+11,14.292,0.7459,14.4265,13.8902,13.4023
2006/1/5,959.134,,2.38162E+12,6.24025E+11,14.5276,0.8352,14.4516,13.8909,13.4023
2006/1/6,970.032,,2.40044E+12,6.30908E+11,14.6424,0.8634,14.4516,13.8992,13.4036
2006/1/9,975.253,,2.40762E+12,6.3452E+11,14.6862,0.8859,14.4636,13.9074,13.4036
2006/1/10,978.154,,2.41789E+12,6.36658E+11,14.7489,0.8973,14.4709,13.9096,13.4036
2006/1/11,973.477,,2.39483E+12,6.33659E+11,14.6082,0.8387,14.4806,13.9118,13.4036
2006/1/12,983.716,,2.42059E+12,6.40399E+11,14.7653,0.8984,14.5101,13.9125,13.4036
2006/1/13,978.809,,2.4029E+12,6.37352E+11,14.6574,0.8617,14.5101,13.9132,13.415
2006/1/16,961.439,,2.36839E+12,6.26616E+11,14.4469,0.7725,14.5101,13.9165,13.415
2006/1/17,964.29,,2.38459E+12,6.28512E+11,14.5457,0.8158,14.5204,13.9199,13.415
2006/1/18,983.622,,2.43134E+12,6.41185E+11,14.8309,0.9162,14.5276,13.9221,13.415
2006/1/19,991.222,,2.46316E+12,6.46804E+11,15.025,0.9479,14.5299,13.9244,13.415
2006/1/20,993.34,,2.47073E+12,6.48597E+11,15.0712,0.9534,14.5299,13.9258,13.417
2006/1/23,996.162,,2.46712E+12,6.50493E+11,15.0478,0.9485,14.5457,13.9273,13.417
